Pos.,Sexe,Nom,freq,permil
615,D,florentina,1246,0.16
616,D,marwa,1245,0.16
617,H,luis fernando,1244,0.16
617,D,maria amparo,1244,0.16
619,D,violeta,1243,0.16
620,D,josepa,1242,0.16
621,H,eudald,1238,0.16
621,D,ikram,1238,0.16
623,D,filomena,1235,0.16
624,H,mahamadou,1215,0.16
625,D,sira,1211,0.16
625,H,toni,1211,0.16
627,H,jon,1210,0.16
628,H,saul,1205,0.15
629,H,ibrahima,1204,0.15
629,D,jordina,1204,0.15
631,D,itziar,1200,0.15
631,H,pedro antonio,1200,0.15
631,D,zohra,1200,0.15
634,D,maria trinidad,1198,0.15
635,H,hamid,1190,0.15
636,D,erica,1184,0.15
637,D,candida,1182,0.15
638,D,dina,1181,0.15
639,D,zahra,1180,0.15
640,H,aurelio,1177,0.15
641,D,amal,1173,0.15
642,D,fernanda,1172,0.15
643,H,brian,1167,0.15
644,D,palmira,1166,0.15
645,D,fatoumata,1161,0.15
646,D,iman,1160,0.15
647,H,noel,1159,0.15
648,H,abderrahim,1157,0.15
648,D,camila,1157,0.15
650,D,fatima zohra,1143,0.15
651,H,maximo,1140,0.15
652,H,victoriano,1138,0.15
653,H,derek,1134,0.15
654,H,driss,1132,0.15
655,D,dunia,1131,0.15
656,H,jofre,1127,0.14
657,D,souad,1123,0.14
658,H,juan bautista,1121,0.14
659,D,flora,1120,0.14
660,D,ivette,1113,0.14
661,H,adil,1110,0.14
661,D,greta,1110,0.14
661,D,marisol,1110,0.14
664,D,caterina,1103,0.14
665,D,adelaida,1101,0.14
666,D,maryam,1094,0.14
667,D,nour,1092,0.14
668,D,coral,1088,0.14
669,D,elna,1084,0.14
670,H,joan josep,1081,0.14
671,D,gregoria,1080,0.14
671,D,maria alejandra,1080,0.14
673,H,younes,1079,0.14
674,H,narciso,1078,0.14
675,H,samir,1077,0.14
676,H,juan ignacio,1069,0.14
676,D,maria eulalia,1069,0.14
678,D,arantxa,1066,0.14
678,D,hanan,1066,0.14
680,H,isidoro,1060,0.14
681,H,mhamed,1057,0.14
682,H,sebastia,1056,0.14
683,H,isidre,1054,0.14
684,H,florencio,1053,0.14
685,D,najat,1051,0.13
686,H,aziz,1050,0.13
687,D,siham,1049,0.13
688,D,maia,1046,0.13
689,D,luna,1045,0.13
690,H,marcelo,1043,0.13
691,D,hafida,1039,0.13
691,D,imane,1039,0.13
691,H,mauro,1039,0.13
694,D,edurne,1038,0.13
695,H,amador,1037,0.13
696,H,alessandro,1036,0.13
697,D,alina,1033,0.13
697,H,amadeo,1033,0.13
699,D,debora,1032,0.13
700,D,jamila,1024,0.13
700,D,sabina,1024,0.13
702,D,mireya,1021,0.13
702,H,yago,1021,0.13
704,H,nabil,1014,0.13
704,H,vasile,1014,0.13
706,D,florencia,1009,0.13
707,H,fidel,1007,0.13
708,H,jose alberto,1006,0.13
708,D,leticia,1006,0.13
710,H,josue,1005,0.13
711,H,nestor,1003,0.13
712,H,serafin,1000,0.13
713,H,aritz,997,0.13
714,D,liliana,996,0.13
715,D,esmeralda,994,0.13
715,D,hortensia,994,0.13
717,H,emili,992,0.13
718,D,paulina,990,0.13
719,H,oussama,987,0.13
720,D,maria assumpcio,984,0.13
721,H,leandro,981,0.13
721,D,melania,981,0.13
723,H,kai,978,0.13
724,H,joan antoni,977,0.13
725,H,igor,975,0.13
725,D,maria remedios,975,0.13
727,D,hayat,973,0.12
728,D,teodora,972,0.12
729,D,lluisa,971,0.12
730,H,juan maria,969,0.12
731,H,achraf,968,0.12
731,H,emiliano,968,0.12
733,H,alonso,963,0.12
734,H,ilyas,962,0.12
735,H,jose enrique,961,0.12
735,H,justo,961,0.12
737,D,almudena,957,0.12
737,D,astrid,957,0.12
739,H,teodoro,956,0.12
740,D,maria gracia,951,0.12
741,H,raimon,950,0.12
742,H,ion,949,0.12
743,H,dionisio,948,0.12
743,D,karen,948,0.12
743,D,rahma,948,0.12
746,H,alfons,944,0.12
747,H,ezequiel,943,0.12
747,D,isabella,943,0.12
747,H,jairo,943,0.12
750,H,candido,940,0.12
751,H,carlos javier,934,0.12
752,D,genoveva,929,0.12
753,H,frederic,923,0.12
754,D,anastasia,921,0.12
754,H,santos,921,0.12
756,D,remei,920,0.12
757,D,vinyet,917,0.12
758,H,miquel angel,913,0.12
759,D,agueda,912,0.12
759,D,svetlana,912,0.12
761,D,maria esperanza,909,0.12
762,H,marius,908,0.12
763,H,jesus maria,906,0.12
764,D,maria ines,905,0.12
765,H,magi,902,0.12
766,H,mauricio,899,0.12
767,H,antonio jesus,898,0.12
768,D,sarai,889,0.11
769,D,micaela,888,0.11
770,D,delia,887,0.11
771,D,isona,886,0.11
772,D,yousra,885,0.11
773,H,gil,880,0.11
774,H,jose vicente,878,0.11
775,H,walid,877,0.11
776,H,gheorghe,876,0.11
776,D,misericordia,876,0.11
778,D,maria consuelo,875,0.11
778,D,paloma,875,0.11
780,H,michael,874,0.11
781,H,ramiro,872,0.11
782,D,felicidad,871,0.11
783,H,abdelilah,870,0.11
783,H,mark,870,0.11
785,H,iñaki,869,0.11
786,H,rogelio,868,0.11
787,D,julieta,866,0.11
788,D,fatima zahra,865,0.11
789,H,anton,864,0.11
790,H,lahcen,860,0.11
791,H,luciano,858,0.11
792,H,abderrahman,857,0.11
793,H,cesc,855,0.11
794,D,sabrina,853,0.11
795,H,ioan,852,0.11
796,H,guim,851,0.11
796,H,nico,851,0.11
798,D,ariana,848,0.11
799,D,cinta,847,0.11
799,D,ursula,847,0.11
801,D,caridad,846,0.11
802,H,jose juan,844,0.11
802,D,zaira,844,0.11
804,H,modesto,841,0.11
805,D,asmae,840,0.11
806,D,sanae,836,0.11
807,D,halima,832,0.11
808,H,abdoulaye,831,0.11
808,H,akram,831,0.11
808,D,eloisa,831,0.11
808,D,kaoutar,831,0.11
812,D,evelyn,830,0.11
812,H,musa,830,0.11
814,H,juan diego,829,0.11
814,H,mateu,829,0.11
816,D,sarah,828,0.11
817,H,armand,827,0.11
818,D,virtudes,826,0.11
819,D,loubna,825,0.11
820,H,gaspar,824,0.11
820,H,mostafa,824,0.11
822,H,ildefonso,823,0.11
823,H,amadou,822,0.11
824,D,azahara,819,0.11
824,H,juan de dios,819,0.11
824,D,montse,819,0.11
827,H,iban,817,0.1
827,D,maria dels angels,817,0.1
829,D,farah,813,0.1
830,H,fabio,812,0.1
830,D,gracia,812,0.1
832,D,chaimae,808,0.1
833,H,yahya,805,0.1
834,H,imad,803,0.1
835,H,rosendo,801,0.1
835,D,salvadora,801,0.1
837,H,francisco javi,800,0.1
838,H,francisco antonio,799,0.1
839,H,abdelkarim,794,0.1
839,H,mourad,794,0.1
841,H,pedro luis,793,0.1
842,D,maria milagros,789,0.1
843,H,pep,788,0.1
843,H,rafel,788,0.1
845,H,gorka,786,0.1
845,D,griselda,786,0.1
847,D,angustias,785,0.1
847,H,josep ramon,785,0.1
849,D,yanira,783,0.1
