IDQUEST	ANY_NAIX	P1	P2	P3_A	P3_B	P3_C	P3_D	P3BIS	P4_A	P4_B	P4_C	P4_D	P5_A	P5_B	P5_C	P5_D	P6	P7	P8_A	P8_B	P8_C	P8_D	P9_A	P9_B	P9_C	P9_D	P10	P11	P15	P17	P18	P22	P23	P25	P26	P30	P31	P35	P39	P40	P42	P43	P47	P48	P50A	P50B	P50C	P51A	P51B	P51C	P56	P60	P64	P65	P66	P70	P73	P74	P75	P79	P81	P85	P89	P93	P97	P101	P105	P109	P116	P117	P118	P119	P120	P121	P122	P123	P124	P128A_1	P128A_2	P128A_3	P128A_4	P128B_1	P128B_2	P128B_3	P128B_4	P128C_1	P128C_2	P128C_3	P128C_4	P128D_1	P128D_2	P128D_3	P128D_4	P128E_1	P128E_2	P128E_3	P128E_4	P129	P130	P130A	P130B	P131	P132	P134	P135	SEXE	SIT_PROF	AMBIT_TERRITORIAL	EDAT_5	CAL
6118	1957	2	 	1	1	1	1	 	1	1	1	1	1	1	1	1	2	2	2	 	 	 	1	2	2	 	2	5	2	1	5	2	2	1	5	2	5	5	1	1	2	5	2	1	1	 	 	5	 	 	4	4	2	 	99	1	2	 	2	2	3	3	3	3	3	3	3	5	2	2	2	2	1	1	2	1	9	10	10	10	8	10	10	10	10	10	10	9	8	6	5	5	2	2	0	0	0	2	99	 	 	1	0	2	1	1	4	7	10	19770
6218	1956	4	 	1	1	1	2	 	1	1	1	1	1	1	1	2	2	4	2	 	 	 	1	1	1	2	2	5	2	3	5	2	1	3	10	4	10	10	1	1	3	5	2	2	1	1	 	5	5	 	11	10	2	 	99	1	2	 	15	11	11	7	11	11	1	1	11	5	1	2	2	2	2	1	1	1	11	9	8	8	3	10	10	10	10	10	8	8	3	8	8	8	6	0	0	0	0	2	2	 	 	1	0	3	3	1	4	7	10	19770
6318	2000	2	 	1	1	1	1	 	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	 	 	 	4	5	3	2	5	2	3	2	5	2	5	5	2	 	3	5	2	0	 	 	 	 	 	 	5	5	1	1	5	7	 	 	99	99	5	5	5	5	5	5	5	5	2	3	2	2	3	1	1	2	14	10	10	10	10	10	10	10	10	10	10	10	10	0	0	0	0	5	5	5	5	2	2	 	 	3	2005	3	3	1	99	7	1	21693
6418	2002	999	 	1	1	1	1	 	1	1	1	1	1	1	1	1	2	2	1	1	1	2	2	 	 	 	4	5	2	2	5	2	1	2	5	2	5	5	3	 	 	 	 	0	 	 	 	 	 	 	5	5	1	1	5	7	 	 	99	99	5	5	5	5	1	1	5	5	1	3	2	2	3	99	1	1	6	10	10	10	9	10	10	10	9	10	10	10	8	1	1	0	0	6	5	6	5	2	99	 	 	3	2003	2	1	1	99	7	1	21693
6518	1957	2	 	1	1	1	1	 	1	1	1	1	1	2	1	2	1	1	2	 	 	 	1	1	1	2	1	99	1	3	1	1	1	3	1	1	1	1	1	99	1	1	1	1	1	 	 	1	 	 	1	1	99	 	99	1	1	99	1	3	1	3	3	2	1	1	3	3	1	2	2	2	3	2	2	1	2	10	10	10	5	10	10	10	7	8	4	6	0	7	5	8	0	0	0	0	0	2	99	 	 	1	0	3	1	1	3	7	10	19770
6618	2002	2	 	1	1	1	1	 	1	1	1	1	1	2	1	2	2	2	2	 	 	 	2	 	 	 	6	4	3	3	8	2	3	2	5	999	5	5	3	 	 	 	 	0	 	 	 	 	 	 	4	5	2	 	99	7	 	 	99	99	5	4	99	99	99	5	5	4	98	3	2	2	3	99	1	1	4	6	5	6	5	10	10	10	9	3	4	5	4	0	0	0	0	3	2	4	4	2	1	 	 	3	2016	2	99	6	99	7	1	20699
6718	1981	998	 	2	 	 	 	 	1	1	1	1	1	2	2	 	998	998	2	 	 	 	2	 	 	 	4	8	3	4	6	998	3	99	6	998	6	6	1	1	1	5	2	1	1	 	 	8	 	 	5	5	2	 	99	99	 	 	99	99	5	5	5	5	5	5	5	5	98	4	5	4	99	99	99	1	5	7	2	2	1	10	9	9	7	2	1	1	1	0	0	0	0	0	0	0	0	2	99	 	 	3	0	3	2	6	99	7	5	17388
6818	1977	2	 	1	1	1	1	 	1	1	1	1	1	2	2	 	2	2	1	1	1	1	2	 	 	 	3	5	2	1	5	2	2	1	5	2	5	5	1	1	1	5	1	1	1	 	 	5	 	 	4	4	2	 	99	8	 	 	99	99	5	5	5	5	5	5	5	5	4	3	2	2	1	2	2	1	3	10	10	10	10	10	10	10	10	4	0	4	0	0	0	0	0	5	5	5	5	2	2	 	 	1	0	3	1	6	99	7	6	16933
6918	1973	4	 	1	1	1	1	 	1	1	1	1	1	1	1	1	4	4	2	 	 	 	1	1	1	1	5	10	1	2	10	4	1	2	10	4	10	10	1	1	1	10	4	3	1	1	1	10	10	10	14	10	2	 	99	1	2	 	10	14	11	4	11	11	1	1	11	14	2	2	2	2	2	2	2	1	14	9	9	9	8	9	9	10	9	10	9	9	7	8	7	7	5	3	3	4	2	2	2	 	4	1	0	3	1	6	4	7	6	16933
7018	1950	4	 	1	1	1	1	 	1	1	1	1	1	1	1	1	1	4	2	 	 	 	1	1	1	1	3	11	1	2	1	99	1	3	1	99	1	1	1	1	1	10	99	2	1	1	 	11	11	 	1	10	2	 	99	4	1	3	11	1	1	1	99	99	99	99	99	1	99	99	2	2	2	1	99	1	11	10	10	10	10	10	10	10	10	10	10	9	8	10	10	10	9	3	3	4	4	99	2	 	 	1	0	4	1	1	2	7	11	18572
7118	1979	4	 	1	1	1	1	 	1	1	1	1	1	1	1	1	4	4	1	1	1	1	1	1	1	2	4	10	2	3	5	2	1	2	10	4	5	10	1	1	1	10	4	2	1	1	 	10	10	 	14	10	2	 	99	1	2	 	10	14	14	14	14	10	1	1	14	14	1	2	2	2	2	1	3	1	14	10	10	10	10	10	10	10	10	10	10	10	10	6	5	4	4	8	7	8	8	2	2	 	 	1	0	4	1	6	4	7	5	16933
7218	1955	142	 	1	1	1	2	 	1	1	1	1	1	1	1	1	142	4	1	2	2	 	1	1	1	1	3	10	2	2	6	142	2	1	6	142	6	6	1	1	1	10	4	3	1	1	1	10	10	10	10	10	2	 	99	1	2	 	14	88	10	10	11	10	5	1	12	99	3	3	2	2	2	99	99	1	14	10	6	6	5	10	10	10	10	10	10	8	8	8	8	8	8	5	5	5	5	2	2	 	5	2	1972	2	1	6	4	7	10	17693
7318	1967	2	 	1	1	1	1	 	1	1	1	1	1	1	1	1	999	999	2	 	 	 	1	1	1	1	4	16	1	2	5	4	2	3	5	2	12	5	1	1	1	5	2	2	1	1	 	12	12	 	12	12	2	 	99	1	2	 	5	8	5	5	5	5	5	5	5	12	5	98	5	1	2	2	2	1	12	9	6	7	7	10	10	10	10	10	8	8	7	9	7	7	7	0	0	0	0	99	99	 	 	2	1967	3	1	6	4	7	8	17693
7418	1989	999	 	1	1	1	1	 	1	1	1	1	1	1	1	1	2	4	1	1	1	1	1	1	1	1	1	99	3	4	14	139	1	3	5	2	6	97	2	 	3	6	107	0	 	 	 	 	 	 	9	10	2	 	99	1	2	 	9	9	14	14	14	10	1	5	10	9	2	2	2	2	3	2	2	1	14	10	10	10	8	10	10	10	8	10	10	10	10	10	10	10	7	10	10	10	7	2	2	 	 	3	1990	4	1	1	4	7	3	21693
7518	1974	1	 	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	 	4	1	1	4	1	1	2	4	3	2	97	97	1	1	1	1	1	2	1	1	 	1	1	 	1	1	2	 	99	99	 	 	99	99	2	2	1	1	99	5	1	1	1	1	2	2	1	1	1	1	1	10	10	10	10	10	10	10	10	7	5	9	3	6	5	6	4	7	7	8	7	2	2	 	 	1	0	4	1	6	99	7	6	16933
7618	1973	2	 	1	1	1	1	 	1	1	1	1	1	2	1	1	2	2	2	 	 	 	1	1	1	1	4	5	2	2	5	2	2	2	5	2	5	5	1	1	2	5	2	2	1	1	 	5	5	 	3	5	2	 	99	1	2	 	4	3	3	3	5	3	3	3	4	3	2	3	2	2	2	2	2	1	3	10	10	10	8	10	10	10	8	8	0	5	2	8	7	8	7	2	0	2	0	2	2	 	 	1	0	3	1	6	4	7	6	16933
7718	1933	4	 	1	1	1	1	 	1	1	1	1	1	1	1	1	139	2	2	 	 	 	1	1	1	1	2	5	3	4	6	139	1	2	10	4	97	97	1	1	2	5	2	0	 	 	 	 	 	 	14	99	2	 	99	4	5	 	15	15	14	14	99	99	99	12	5	99	1	2	2	2	2	1	99	1	14	10	10	10	4	10	10	10	10	10	10	10	4	10	10	10	4	0	0	0	0	2	2	 	5	3	1948	3	1	6	6	7	14	19775
7818	1981	4	 	1	1	1	1	 	1	1	1	1	1	1	1	1	999	4	2	 	 	 	1	1	1	1	4	14	1	2	5	2	1	3	10	4	5	11	1	1	1	1	3	2	1	1	 	10	10	 	14	12	2	 	99	1	2	 	10	10	5	5	5	10	1	5	11	14	1	2	2	2	2	2	99	1	14	10	10	10	9	10	10	10	10	10	10	10	10	8	8	8	6	2	1	0	0	1	1	 	 	1	0	4	1	6	4	7	5	16933
7918	2002	4	 	1	1	1	1	 	1	1	1	1	1	1	1	1	4	4	1	1	1	1	1	1	1	1	4	11	1	3	11	1	1	3	11	4	1	10	3	 	 	 	 	0	 	 	 	 	 	 	14	5	1	1	14	7	 	 	99	99	14	14	10	99	99	99	10	14	1	2	1	1	3	2	1	1	14	10	10	10	9	10	10	10	9	10	10	10	9	8	7	8	6	8	6	8	6	2	2	 	 	1	0	3	1	1	99	7	1	21126
8018	1960	4	 	1	1	1	1	 	1	1	1	1	1	1	1	1	4	4	2	 	 	 	1	1	1	1	4	11	1	2	10	4	1	2	10	4	10	10	1	1	1	1	1	2	1	1	 	11	11	 	11	10	2	 	99	1	2	 	1	1	14	14	11	10	1	4	14	3	1	2	2	2	2	2	2	1	14	10	10	10	7	10	10	10	9	10	10	10	6	10	10	10	6	2	2	1	1	2	1	 	 	1	0	3	1	1	4	7	9	19770
8118	1982	2	 	1	1	1	1	 	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	4	12	2	2	5	2	1	2	5	2	5	3	1	1	1	5	2	2	1	1	 	12	12	 	14	3	2	 	99	1	2	 	14	13	10	5	5	10	1	5	5	14	2	3	2	2	1	2	2	1	16	10	10	10	10	10	10	10	10	10	10	10	10	5	4	4	2	10	9	10	9	1	2	 	1	1	0	4	1	6	4	7	5	16933
8218	1959	1	 	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	2	 	 	 	2	 	 	 	2	1	1	4	1	1	1	2	1	1	1	1	1	1	1	1	4	2	1	1	 	1	1	 	2	2	2	 	99	1	1	3	2	3	1	1	1	1	1	1	1	3	1	1	2	2	2	1	2	1	14	10	10	10	7	10	10	10	10	8	5	5	3	0	0	0	0	0	0	0	0	2	2	 	 	1	0	3	1	6	2	7	9	17782
8318	1945	1	 	1	1	1	1	 	1	1	1	1	1	1	1	2	1	1	2	 	 	 	1	1	2	 	3	11	1	1	1	1	1	1	1	1	1	1	1	1	1	11	4	2	1	1	 	1	1	 	14	15	2	 	99	4	1	1	99	14	14	3	11	15	2	5	4	99	5	2	2	2	3	2	3	1	14	10	10	9	6	10	10	10	8	10	8	5	1	7	5	4	1	0	0	0	0	2	99	 	 	1	0	1	1	6	3	7	12	19257
8418	1983	4	 	1	1	1	1	 	1	1	1	1	1	1	1	1	4	4	2	 	 	 	1	1	2	 	2	10	1	99	10	4	1	99	5	2	10	5	1	1	1	10	4	0	 	 	 	 	 	 	12	10	2	 	99	1	2	 	14	88	14	14	3	10	1	99	3	5	5	4	5	2	2	99	2	1	14	9	8	8	8	9	8	8	8	9	8	8	8	5	4	0	0	0	0	0	0	2	1	 	 	1	0	3	1	1	4	7	4	19897
8518	1961	4	 	1	1	1	2	 	1	1	1	1	1	1	1	2	999	999	2	 	 	 	1	1	1	1	5	11	3	99	8	139	3	2	14	4	6	3	1	1	1	11	999	3	1	1	1	11	11	11	14	10	2	 	99	1	1	2	3	14	9	14	14	10	1	1	5	5	2	2	2	2	1	1	1	1	14	10	10	8	0	10	10	10	10	10	10	10	0	10	10	10	10	0	0	0	0	2	2	 	 	3	1961	3	1	1	1	7	9	20302
8618	1955	4	 	1	1	1	1	 	1	1	1	1	1	1	1	2	4	4	2	 	 	 	1	1	1	2	3	10	1	2	10	4	1	1	10	4	99	99	1	1	1	10	4	2	1	1	 	10	10	 	14	12	2	 	99	99	 	 	99	99	14	3	12	12	3	3	12	12	5	3	2	2	2	2	2	1	10	10	10	10	6	10	10	10	9	10	10	10	4	6	5	5	0	0	0	0	0	2	99	 	 	1	0	3	1	1	99	7	10	19770
8718	1957	4	 	1	1	1	2	 	1	1	1	1	1	1	1	1	4	4	1	2	2	 	1	1	2	 	2	10	1	2	10	4	1	2	10	4	10	10	1	1	1	1	1	1	1	 	 	10	 	 	14	14	2	 	99	1	1	1	10	1	11	11	1	10	1	1	3	11	2	2	2	2	2	3	99	1	14	9	8	6	6	10	10	10	10	10	10	10	8	8	8	5	5	2	2	2	2	2	1	 	 	1	0	3	1	1	3	7	10	19770
8818	1959	999	 	1	1	1	2	 	1	1	1	1	1	1	1	2	1	4	2	 	 	 	1	1	1	1	2	10	1	1	1	1	1	2	1	1	1	1	1	1	1	10	4	2	1	1	 	11	11	 	9	10	2	 	99	1	2	 	9	4	9	2	11	10	1	1	1	99	1	1	2	2	3	3	3	1	2	10	10	10	5	10	10	10	10	10	10	10	3	8	7	8	6	0	0	0	0	2	1	7	 	1	0	2	1	1	4	7	9	19770
8918	1976	2	 	1	1	1	2	 	1	1	1	1	2	 	 	 	2	2	2	 	 	 	2	 	 	 	1	99	3	4	5	2	3	99	99	2	5	5	1	2	3	5	2	0	 	 	 	 	 	 	5	5	2	 	99	1	2	 	5	5	3	3	5	5	5	5	5	5	5	3	5	1	1	1	1	2	3	9	3	9	3	10	10	10	10	2	0	0	0	8	8	3	3	8	8	6	3	1	1	 	 	3	2009	3	3	1	4	7	6	20431
9018	1958	139	 	1	1	1	2	 	1	1	1	1	1	1	1	2	139	2	1	1	1	1	1	1	1	1	2	8	3	3	6	139	3	4	6	139	13	97	1	1	1	8	2	2	3	3	 	6	6	 	16	12	2	 	99	4	2	 	6	88	12	12	5	12	99	4	5	8	1	3	2	1	2	1	1	1	14	6	2	8	1	8	8	10	9	7	5	7	1	10	10	10	10	7	6	8	6	2	1	 	 	3	1962	4	2	1	4	7	9	20302
9118	1973	1	 	1	1	1	1	 	1	1	1	1	1	1	1	1	1	3	2	 	 	 	1	1	1	1	2	5	1	3	1	1	1	3	1	1	1	1	1	1	2	5	2	0	 	 	 	 	 	 	3	3	2	 	99	1	2	 	2	3	4	4	3	11	1	5	5	4	1	2	2	2	2	2	2	1	15	10	10	10	10	10	10	10	10	5	5	5	5	5	5	5	5	0	0	0	0	2	1	 	 	1	0	3	1	1	4	7	6	19897
9218	1951	4	 	1	1	2	 	 	1	1	1	1	1	1	2	 	4	4	2	 	 	 	1	1	2	 	1	99	1	2	10	4	1	2	10	4	10	10	2	 	1	5	2	1	1	 	 	10	 	 	14	14	1	2	14	4	1	2	12	13	14	12	14	10	4	4	14	5	2	3	2	2	3	2	2	1	14	9	10	 	 	10	10	10	10	9	9	 	 	9	9	0	0	0	0	0	0	2	2	 	 	1	0	2	1	6	1	7	11	19257
9318	1997	999	 	1	1	1	1	 	1	1	1	1	1	1	1	1	2	2	2	 	 	 	1	2	1	2	2	5	3	3	5	2	95	 	 	 	5	97	2	 	1	5	4	0	 	 	 	 	 	 	5	5	1	1	1	7	 	 	99	99	5	5	5	10	1	3	5	5	3	3	2	1	1	1	2	1	9	10	9	10	9	10	10	10	10	10	9	10	10	5	2	3	0	0	0	0	0	2	2	 	 	1	0	3	1	6	99	7	2	20157
9418	1985	4	 	1	1	1	1	 	1	1	1	1	1	1	1	1	2	2	2	 	 	 	1	1	1	1	1	99	2	2	5	2	2	2	5	142	5	5	3	 	 	 	 	0	 	 	 	 	 	 	14	10	1	1	1	1	3	 	5	14	10	5	1	10	1	5	10	14	5	2	2	2	1	1	1	1	14	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	0	0	0	0	2	2	 	 	1	0	3	1	1	5	7	4	19897
9518	1962	1	 	1	1	1	1	 	1	1	1	1	1	2	1	2	1	1	2	 	 	 	1	1	1	2	3	1	1	1	1	1	1	3	1	2	1	3	1	1	2	1	2	2	1	1	 	1	1	 	2	2	2	 	99	1	2	 	5	9	1	3	1	1	1	5	3	2	1	1	2	2	4	2	2	1	14	10	10	7	8	10	10	8	8	6	6	4	0	6	6	4	4	2	2	1	0	2	2	 	 	1	0	3	1	1	4	7	9	19770
9618	1963	2	 	1	2	2	 	 	1	1	1	1	2	 	 	 	2	2	2	 	 	 	2	 	 	 	4	5	3	3	5	2	3	3	5	2	5	5	2	 	3	5	2	4	3	3	3	5	5	5	5	5	2	 	99	1	3	 	5	5	5	5	5	5	5	5	5	5	2	4	5	4	2	1	2	1	14	9	0	0	0	10	10	10	10	8	0	0	0	0	0	0	0	0	0	0	0	1	1	 	 	3	2003	3	2	6	5	7	8	18260
9718	1964	193	 	1	2	1	2	 	1	1	1	1	2	 	 	 	193	2	2	 	 	 	2	 	 	 	6	8	3	1	6	193	3	2	6	193	6	6	1	1	3	8	193	2	3	3	 	8	8	 	8	5	2	 	99	1	2	 	5	5	5	5	5	5	5	5	8	8	98	4	5	1	1	1	1	1	14	5	0	4	0	8	7	8	5	2	0	0	0	0	0	0	0	0	0	0	0	2	2	 	4	3	2009	3	2	6	4	7	8	18260
9818	1981	2	 	1	1	1	1	 	1	1	1	1	1	1	1	1	2	2	2	 	 	 	1	1	1	1	2	5	2	2	5	2	2	2	5	2	5	5	1	1	2	5	2	0	 	 	 	 	 	 	14	5	2	 	99	1	3	 	5	14	14	16	5	10	1	5	5	5	2	3	2	1	2	2	2	2	14	10	6	7	6	10	10	10	10	10	10	10	10	7	7	7	7	0	0	0	0	2	2	 	 	1	0	3	1	1	5	7	5	19897
9918	1968	2	 	1	1	1	2	 	1	1	1	1	1	1	1	2	2	2	2	 	 	 	2	 	 	 	6	14	2	1	5	2	2	1	5	2	5	5	1	1	3	14	2	1	1	 	 	14	 	 	14	14	2	 	99	1	2	 	14	14	14	14	14	14	14	14	14	5	2	2	2	2	2	2	2	1	14	10	10	10	3	10	10	10	10	10	10	10	3	3	3	3	0	0	0	0	0	2	2	 	 	1	0	2	1	1	4	7	7	19770
10018	1948	2	 	1	1	1	1	 	1	1	1	1	1	1	1	1	2	2	2	 	 	 	1	1	2	 	5	14	2	99	5	2	2	99	5	2	1	5	1	1	1	14	2	4	1	1	99	14	14	14	14	14	2	 	99	4	2	 	14	14	14	14	14	12	99	5	14	99	1	2	2	2	1	1	99	1	14	10	10	10	8	10	10	10	10	10	10	8	8	5	5	3	3	0	0	0	0	2	2	 	 	2	1952	1	1	6	4	7	11	19161
10118	1991	4	 	1	1	1	1	 	1	1	1	1	1	1	1	1	4	4	1	1	1	1	1	1	1	2	5	10	1	4	10	4	1	4	10	1	97	1	1	2	1	11	1	0	 	 	 	 	 	 	10	10	2	 	99	1	2	 	1	1	10	99	10	10	99	99	11	10	1	3	1	5	3	2	3	1	10	10	10	10	10	10	10	10	10	10	10	10	10	8	6	10	2	9	9	10	8	2	2	 	 	1	0	4	1	1	4	7	3	21126
10218	1977	1	 	1	1	1	1	 	1	1	1	1	1	1	1	2	1	1	2	 	 	 	1	1	1	1	3	5	1	99	1	1	2	99	1	1	1	1	1	1	1	5	2	1	1	 	 	5	 	 	5	5	2	 	99	1	2	 	5	5	9	3	11	10	1	5	14	9	1	2	1	1	3	2	99	1	99	10	10	10	10	10	10	10	10	10	7	7	4	8	8	8	8	0	0	0	0	2	2	 	 	1	0	3	1	1	4	7	6	19897
10318	1997	2	 	1	1	1	1	 	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	6	12	2	4	5	2	1	3	12	99	5	97	2	 	1	12	1	0	 	 	 	 	 	 	12	5	1	1	5	7	 	 	99	99	5	5	5	3	3	5	14	5	5	3	2	2	2	3	2	1	3	8	8	9	6	10	10	10	10	9	8	7	7	7	9	5	5	9	9	8	7	2	1	 	 	1	0	3	1	6	99	7	2	20157
10418	1963	3	 	1	1	1	1	 	1	1	1	1	1	2	1	2	2	2	2	 	 	 	1	1	1	1	1	99	2	2	5	2	1	2	5	2	5	5	2	 	1	5	2	1	1	 	 	2	 	 	3	3	2	 	99	1	2	 	4	2	4	4	4	2	99	5	5	4	1	3	2	2	2	1	1	1	2	10	10	10	10	10	10	10	10	4	0	4	0	8	6	8	5	0	0	0	0	1	2	 	 	1	0	3	1	1	4	7	8	19770
10518	1953	4	 	1	1	1	1	 	1	1	1	1	1	1	1	1	4	4	2	 	 	 	1	1	1	1	1	99	1	2	10	4	1	2	10	4	97	97	3	 	 	 	 	0	 	 	 	 	 	 	10	10	2	 	99	4	2	 	11	15	12	14	10	10	99	5	5	99	99	3	2	2	3	2	99	1	14	10	10	10	5	10	10	10	10	10	10	10	5	7	7	7	5	0	0	0	0	2	99	 	 	1	0	2	1	1	4	7	10	19770
10618	1959	4	 	1	1	1	2	 	1	1	1	1	1	1	1	2	4	4	2	 	 	 	1	1	2	 	3	12	1	2	10	4	1	2	10	4	10	10	1	1	1	5	2	2	1	1	 	5	5	 	14	14	2	 	99	8	 	 	99	99	14	14	1	10	1	3	5	5	2	2	2	2	1	2	2	1	14	10	10	5	0	10	10	10	10	10	10	5	0	8	5	3	0	0	0	0	0	2	2	 	5	1	0	2	1	6	99	7	9	17782
10718	1980	2	 	1	1	2	 	 	1	1	1	1	1	2	2	 	2	2	1	1	1	2	2	 	 	 	2	5	3	3	5	2	3	4	5	2	5	5	1	1	3	5	2	0	 	 	 	 	 	 	5	5	2	 	99	1	2	 	5	88	5	5	5	5	5	5	5	5	2	3	5	1	2	2	2	1	4	8	5	4	0	10	10	10	10	6	3	1	0	4	3	1	0	7	6	3	2	2	1	 	 	3	2003	3	3	1	4	7	5	20431
10818	1965	4	 	1	1	1	1	 	1	1	1	1	1	1	1	1	4	999	1	1	1	1	1	1	1	1	1	99	1	2	10	4	1	2	1	1	10	1	3	 	 	 	 	0	 	 	 	 	 	 	14	14	2	 	99	2	2	 	14	88	14	14	14	11	1	5	14	14	2	2	2	2	2	2	99	1	14	10	10	10	7	10	10	10	10	10	10	10	6	7	7	9	7	3	3	3	3	2	1	 	 	1	0	3	1	1	4	7	8	19770
10918	1972	1	 	1	1	1	1	 	1	1	1	1	1	2	2	 	3	2	1	1	1	1	1	1	1	1	3	4	1	4	1	1	3	1	6	139	1	6	1	1	3	5	2	1	1	 	 	1	 	 	3	5	2	 	99	1	1	3	5	9	4	4	3	1	99	5	5	4	1	3	2	1	99	3	3	1	2	10	10	8	8	10	10	9	8	4	0	0	0	9	8	7	7	8	8	7	7	1	2	 	4	1	0	3	1	1	2	7	7	19770
11018	1970	2	 	1	1	1	2	 	1	1	1	1	1	1	1	2	2	3	2	 	 	 	1	2	2	 	1	99	2	1	5	2	2	1	5	2	5	5	2	 	3	12	139	0	 	 	 	 	 	 	4	5	2	 	99	2	3	 	5	5	3	5	5	5	5	5	5	3	3	3	2	2	4	3	3	1	3	6	4	4	2	10	10	10	10	6	2	2	2	4	0	0	0	0	0	0	0	2	2	 	 	1	0	3	1	1	5	7	7	19770
11118	1966	1	 	1	1	1	1	 	1	1	1	1	1	2	2	 	1	1	1	1	1	1	1	1	1	1	2	5	1	3	1	1	1	3	1	1	1	1	1	2	1	1	1	0	 	 	 	 	 	 	3	3	2	 	99	1	1	1	3	3	1	1	1	1	1	1	1	3	3	2	2	2	1	99	1	1	2	10	10	10	8	10	10	10	10	4	1	0	0	5	5	5	3	7	6	6	6	2	2	 	4	1	0	4	1	1	3	7	8	19770
11218	1978	1	 	1	1	1	1	 	1	1	1	1	1	1	1	2	1	1	2	 	 	 	1	2	1	2	1	99	1	99	1	2	1	99	1	1	1	1	2	 	1	1	1	0	 	 	 	 	 	 	3	1	2	 	99	2	2	 	3	3	1	1	1	1	1	1	1	3	2	1	2	2	3	2	2	1	5	9	9	9	3	8	8	7	6	6	4	4	0	3	3	3	0	3	3	5	0	2	1	 	 	1	0	3	1	1	4	7	5	19897
11318	1972	2	 	1	1	1	2	 	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	1	1	1	3	5	2	99	5	2	2	99	5	2	5	5	1	1	1	5	2	1	1	 	 	5	 	 	5	5	2	 	99	1	1	2	5	8	5	5	5	5	5	5	5	8	4	4	5	1	99	99	2	1	4	8	5	5	5	10	10	10	10	6	2	2	1	6	5	3	2	7	5	5	2	2	1	 	 	2	2000	3	1	1	1	7	7	19672
11418	1963	4	 	1	1	1	1	 	1	1	1	1	1	1	1	1	4	4	1	1	1	1	1	1	1	1	3	11	1	2	10	4	1	2	1	1	10	1	1	1	1	11	1	1	1	 	 	10	 	 	14	14	1	2	14	1	2	 	10	2	14	14	10	10	1	1	11	14	1	2	2	2	3	1	2	1	11	10	10	10	10	10	10	10	10	10	10	10	10	8	8	8	8	7	7	7	7	2	2	 	 	1	0	3	1	6	4	7	8	17782
11518	1952	4	 	1	1	1	1	 	1	1	1	1	1	1	1	1	2	2	2	 	 	 	1	1	1	1	2	5	2	1	5	2	2	4	5	2	5	5	1	1	3	5	2	2	1	1	 	5	5	 	5	12	1	2	5	1	2	 	5	3	12	5	5	10	99	5	5	5	3	3	2	2	2	2	1	1	14	10	10	10	8	10	10	10	10	10	10	10	8	9	9	9	9	0	0	0	0	1	1	 	 	2	1959	4	1	1	4	7	11	18479
11618	1976	4	 	1	1	1	1	 	1	1	1	1	1	1	1	1	4	4	1	2	2	 	1	1	1	1	1	99	1	99	10	4	99	99	10	4	10	10	3	 	 	 	 	0	 	 	 	 	 	 	5	5	1	2	99	1	2	 	5	99	12	5	1	5	99	5	5	5	1	3	5	2	2	99	3	1	14	10	10	9	6	10	10	10	10	10	10	10	10	10	10	10	10	6	6	6	6	2	2	 	 	1	0	3	1	6	4	7	6	16933
11718	1978	2	 	1	2	1	2	 	1	1	1	1	1	2	2	 	2	2	1	1	1	1	1	1	1	2	2	5	2	2	5	2	2	2	99	2	5	97	1	1	2	5	999	0	 	 	 	 	 	 	5	5	2	 	99	1	2	 	5	5	5	5	5	5	5	5	5	5	1	4	5	1	2	99	2	1	5	6	2	8	3	10	10	10	10	5	2	3	2	7	7	7	4	8	8	8	8	2	2	 	 	2	2005	3	1	1	4	7	5	19797
11818	1977	4	 	1	1	1	1	 	1	1	1	1	1	1	1	1	999	4	1	1	1	1	1	1	1	1	2	5	1	3	10	4	2	3	5	2	10	5	1	1	2	5	2	1	1	 	 	10	 	 	14	12	1	2	14	1	2	 	14	3	14	14	14	10	1	5	5	14	1	3	2	2	3	2	2	1	14	10	8	10	8	10	10	10	10	10	10	10	8	10	10	10	10	8	7	8	8	2	1	 	 	1	0	3	1	6	4	7	6	16933
11918	1979	2	 	1	1	1	1	 	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	3	5	1	2	5	999	2	2	5	2	10	5	1	1	1	5	3	1	1	 	 	5	 	 	14	10	2	 	99	1	5	 	14	3	14	3	14	10	1	5	10	14	5	3	2	2	1	2	2	1	14	10	10	10	10	10	10	10	10	9	10	10	10	6	6	6	6	6	6	6	6	2	2	 	 	1	0	4	1	6	6	7	5	16933
12018	1949	2	 	1	1	1	2	 	1	1	1	1	1	1	1	2	2	2	2	 	 	 	2	 	 	 	2	5	2	1	5	2	2	2	5	2	5	5	1	1	2	5	2	1	1	 	 	5	 	 	5	5	2	 	99	4	1	1	5	5	5	5	5	5	5	5	5	99	2	3	2	4	3	2	2	1	14	10	7	7	3	10	10	10	10	10	2	4	2	0	0	0	0	0	0	0	0	2	2	 	5	2	1965	2	1	1	3	7	11	18479
